,Date,Open,High,Low,Close,Volume,,,,,,,,,,
0,January,14.8579998016357,14.8833332061767,14.2173328399658,14.6206674575805,71466000,,,Year,Open_Average,High_Max,Low_Min,Close_Average,,,
1,January,14.3033332824707,14.4333333969116,13.8106670379638,14.0059995651245,80527500,,,2015,15.31,19.11,12.09,15.33,,,2-253
2,January,14.003999710083,14.2799997329711,13.6140003204345,14.0853328704833,93928500,,,2016,14.01,17.95,9.4,13.99,,,254-505
3,January,14.2233333587646,14.3186674118042,13.9853334426879,14.0633325576782,44526000,,,2017,20.9,25.97,14.06,20.9,,,506-756
4,January,14.1873331069946,14.2533330917358,14.0006666183471,14.0413331985473,51637500,,,2018,21.13,25.83,16.3,21.14,,,757-1007
5,January,13.9280004501342,13.9986667633056,13.6639995574951,13.7773332595825,70024500,,,2019,18.2,29.02,11.79,18.23,,,1008-1259
6,January,13.5366668701171,13.6313333511352,13.283332824707,13.4806671142578,89254500,,,2020,96.36,239.57,23.36,96.66,,,1259-1512
7,January,13.5546674728393,13.840666770935,13.3940000534057,13.6166667938232,67159500,,,2021,259.94,414.49,179.83,259.9,,,1513-1764
8,January,12.3886671066284,13.0133333206176,12.3333330154418,12.8459997177124,173278500,,,2022,264.13,402.66,108.23,263,,,1765-2015
9,January,12.9659996032714,13.0500001907348,12.6666669845581,12.7913331985473,78247500,,,2023,217.07,299.29,101.8,217.4,,,2016-2265
10,January,12.7133331298828,12.9659996032714,12.6433334350585,12.8713331222534,54048000,,,,,,,,,,
11,January,12.9246673583984,12.9413328170776,12.4693326950073,12.7953329086303,67548000,,,,,,,,,,
12,January,12.6366672515869,13.2453327178955,12.6339998245239,13.1046667098999,62295000,,,,,,,,,,
13,January,13.1333332061767,13.5493326187133,13.0133333206176,13.4413328170776,61753500,,,,,,,,,,
14,January,13.3526668548583,13.5666666030883,13.2220001220703,13.4193334579467,51579000,,,,,,,,,,
15,January,13.4553327560424,13.9079999923706,13.4033327102661,13.7700004577636,48517500,,,Year,Average Volume,,,,,,
16,January,13.6280002593994,13.8686666488647,13.5533332824707,13.7320003509521,41715000,,,2015,64774869.047619,,,,Year,Average Volume,Closing Average
